team,matches_with_ranking,matches_missing_ranking,missing_rate,earliest_ranking_date,latest_ranking_date
Czechoslovakia,7,513,0.9865384615384616,1992-12-31,1993-10-22
DR Congo,266,258,0.49236641221374045,2000-01-19,2026-04-01
Darfur,0,7,1.0,,
Denmark,359,515,0.5892448512585813,1992-12-31,2026-04-01
Djibouti,92,19,0.17117117117117117,1998-07-15,2025-11-20
Dominica,140,75,0.3488372093023256,1995-10-17,2026-01-19
Dominican Republic,144,15,0.09433962264150944,1992-12-31,2026-04-01
Donetsk PR,0,6,1.0,,
Délvidék,0,2,1.0,,
East Turkestan,0,5,1.0,,
Ecuador,396,195,0.3299492385786802,1992-12-31,2026-04-01
Egypt,457,299,0.3955026455026455,1992-12-31,2026-04-01
El Salvador,385,229,0.3729641693811075,1992-12-31,2026-04-01
Elba Island,0,2,1.0,,
Ellan Vannin,0,22,1.0,,
England,391,699,0.6412844036697247,1992-12-31,2026-04-01
Equatorial Guinea,159,20,0.11173184357541899,1995-09-19,2026-04-01
Eritrea,65,6,0.08450704225352113,1998-12-23,2019-07-25
Estonia,423,127,0.2309090909090909,1992-12-31,2026-04-01
Eswatini,238,36,0.13138686131386862,1992-12-31,2025-09-18
Ethiopia,239,170,0.4156479217603912,1992-12-31,2026-04-01
Falkland Islands,0,33,1.0,,
Faroe Islands,242,45,0.156794425087108,1992-12-31,2026-04-01
Felvidék,0,12,1.0,,
Fiji,163,105,0.3917910447761194,1992-12-31,2026-04-01
Finland,371,447,0.5464547677261614,1992-12-31,2026-04-01
France,425,510,0.5454545454545454,1992-12-31,2026-04-01
Franconia,0,3,1.0,,
French Guiana,0,179,1.0,,
Frøya,0,37,1.0,,
Gabon,293,112,0.2765432098765432,1992-12-31,2026-01-19
Galicia,0,12,1.0,,
Gambia,166,100,0.37593984962406013,1993-11-19,2022-08-25
Georgia,296,11,0.035830618892508145,1994-05-17,2026-04-01
German DR,0,298,1.0,,
Germany,445,586,0.5683802133850631,1992-12-31,2026-04-01
Ghana,396,275,0.4098360655737705,1992-12-31,2026-04-01
Gibraltar,86,73,0.4591194968553459,2016-09-15,2026-04-01
Gotland,0,30,1.0,,
Gozo,0,14,1.0,,
Greece,355,278,0.4391785150078989,1992-12-31,2026-04-01
Greenland,0,77,1.0,,
Grenada,195,65,0.25,1992-12-31,2026-04-01
Guadeloupe,0,271,1.0,,
Guam,105,18,0.14634146341463414,1997-04-09,2026-04-01
Guatemala,351,203,0.3664259927797834,1995-11-21,2026-04-01
Guernsey,0,240,1.0,,
Guinea,292,247,0.4582560296846011,1992-12-31,2026-04-01
Guinea-Bissau,128,62,0.3263157894736842,1992-12-31,2026-01-19
Guyana,170,143,0.45686900958466453,1992-12-31,2026-01-19
Găgăuzia,0,3,1.0,,
Haiti,291,219,0.4294117647058823,1994-02-15,2026-04-01
Hitra,0,23,1.0,,
Hmong,0,3,1.0,,
Honduras,441,179,0.2887096774193548,1992-12-31,2026-04-01
Hong Kong,245,202,0.4519015659955257,1992-12-31,2022-12-22
Hungary,339,667,0.6630218687872763,1992-12-31,2026-04-01
Iceland,342,180,0.3448275862068966,1992-12-31,2026-04-01
India,296,238,0.44569288389513106,1992-12-31,2026-04-01
Indonesia,327,401,0.5508241758241759,1992-12-31,2026-04-01
Iran,436,176,0.2875816993464052,1992-12-31,2026-04-01
Iraq,427,228,0.3480916030534351,1992-12-31,2026-04-01
Iraqi Kurdistan,0,27,1.0,,
Isle of Man,0,58,1.0,,
Isle of Wight,0,48,1.0,,
Israel,294,204,0.40963855421686746,1992-12-31,2026-04-01
Italy,401,492,0.5509518477043673,1992-12-31,2026-04-01
Ivory Coast,376,260,0.4088050314465409,1992-12-31,2026-04-01
Jamaica,474,189,0.2850678733031674,1992-12-31,2026-04-01
Japan,504,286,0.3620253164556962,1992-12-31,2026-04-01
Jersey,0,235,1.0,,
Jordan,419,66,0.1360824742268041,1992-12-31,2026-04-01
Kabylia,0,6,1.0,,
Kazakhstan,257,12,0.04460966542750929,1995-12-19,2026-04-01
Kenya,356,350,0.49575070821529743,1992-12-31,2026-04-01
Kernow,0,12,1.0,,
Kiribati,0,11,1.0,,
Kosovo,96,8,0.07692307692307693,2016-08-11,2026-04-01
Kurdistan,0,5,1.0,,
Kuwait,442,242,0.3538011695906433,1992-12-31,2026-04-01
Kyrgyzstan,0,191,1.0,,
Kárpátalja,0,11,1.0,,
Laos,181,43,0.19196428571428573,1995-11-21,2025-10-16
Latvia,339,122,0.2646420824295011,1992-12-31,2026-04-01
Lebanon,300,33,0.0990990990990991,1992-12-31,2025-11-20
Lesotho,253,43,0.14527027027027026,1992-12-31,2026-04-01
Liberia,198,104,0.3443708609271523,1992-12-31,2026-04-01
Libya,243,141,0.3671875,1997-04-09,2026-01-19
Liechtenstein,251,8,0.03088803088803089,1993-10-22,2026-04-01
Lithuania,331,102,0.23556581986143188,1992-12-31,2026-04-01
Luhansk PR,0,6,1.0,,
Luxembourg,280,187,0.4004282655246253,1992-12-31,2026-04-01
Macau,109,39,0.2635135135135135,1996-01-24,2026-01-19
Madagascar,215,105,0.328125,1992-12-31,2026-04-01
Madrid,0,1,1.0,,
Malawi,342,302,0.468944099378882,1992-12-31,2026-04-01
Malaysia,351,484,0.5796407185628742,1992-12-31,2025-10-16
Maldives,216,17,0.07296137339055794,1993-11-19,2026-04-01
Mali,357,212,0.37258347978910367,1992-12-31,2026-04-01
Malta,314,144,0.314410480349345,1992-12-31,2026-04-01
Manchukuo,0,3,1.0,,
Mapuche,0,2,1.0,,
Marshall Islands,0,2,1.0,,
Martinique,0,331,1.0,,
Matabeleland,0,8,1.0,,
Maule Sur,0,2,1.0,,
Mauritania,191,82,0.30036630036630035,1993-11-19,2026-04-01
Mauritius,204,121,0.3723076923076923,1992-12-31,2025-09-18
Mayotte,0,38,1.0,,
Menorca,0,25,1.0,,
Mexico,620,384,0.38247011952191234,1992-12-31,2026-06-11
Micronesia,0,7,1.0,,
Moldova,288,11,0.03678929765886288,1994-07-21,2026-04-01
Monaco,0,24,1.0,,
Mongolia,90,13,0.1262135922330097,2000-02-16,2026-04-01
Montenegro,164,6,0.03529411764705882,2007-08-22,2026-04-01
Montserrat,56,10,0.15151515151515152,2000-02-16,2025-04-03
Morocco,383,234,0.37925445705024313,1992-12-31,2026-04-01
Mozambique,303,72,0.192,1992-12-31,2026-04-01
Myanmar,256,256,0.5,1992-12-31,2026-04-01
Namibia,272,7,0.025089605734767026,1992-12-31,2026-01-19
Nepal,209,59,0.22014925373134328,1993-11-19,2025-10-16
Netherlands,393,486,0.552901023890785,1992-12-31,2026-04-01
New Caledonia,97,168,0.6339622641509434,2007-06-13,2026-01-19
New Zealand,225,191,0.45913461538461536,1992-12-31,2026-04-01
Nicaragua,173,49,0.22072072072072071,1992-12-31,2026-04-01
Niger,183,77,0.29615384615384616,1992-12-31,2026-04-01
Nigeria,386,275,0.41603630862329805,1992-12-31,2026-04-01
Niue,0,2,1.0,,
North Korea,0,390,1.0,,
North Macedonia,160,146,0.477124183006536,2010-03-03,2026-04-01
North Vietnam,0,24,1.0,,
Northern Cyprus,0,34,1.0,,
Northern Ireland,288,419,0.5926449787835927,1992-12-31,2026-04-01
Northern Mariana Islands,0,30,1.0,,
Norway,364,508,0.5825688073394495,1992-12-31,2026-04-01
Occitania,0,33,1.0,,
Oman,465,78,0.143646408839779,1992-12-31,2026-04-01
Orkney,0,28,1.0,,
Padania,0,45,1.0,,
Pakistan,150,101,0.40239043824701193,1992-12-31,2026-04-01
Palau,0,2,1.0,,
Palestine,218,31,0.12449799196787148,2000-03-15,2026-04-01
Panama,396,143,0.2653061224489796,1992-12-31,2026-04-01
Panjab,0,19,1.0,,
Papua New Guinea,84,71,0.45806451612903226,1997-05-14,2025-11-20
Paraguay,390,394,0.5025510204081632,1992-12-31,2026-06-11
Parishes of Jersey,0,3,1.0,,
Peru,380,334,0.4677871148459384,1992-12-31,2026-04-01
Philippines,244,98,0.28654970760233917,1992-12-31,2026-04-01
Poland,404,488,0.547085201793722,1992-12-31,2026-04-01
Portugal,392,303,0.43597122302158275,1992-12-31,2026-04-01
Provence,0,23,1.0,,
Puerto Rico,116,47,0.2883435582822086,1992-12-31,2026-04-01
Qatar,483,152,0.23937007874015748,1992-12-31,2026-04-01
Quebec,0,3,1.0,,
Raetia,0,26,1.0,,
Republic of Ireland,348,285,0.45023696682464454,1992-12-31,2026-04-01
Republic of St. Pauli,0,4,1.0,,
Rhodes,0,18,1.0,,
Romani people,0,7,1.0,,
Romania,360,406,0.5300261096605744,1992-12-31,2026-04-01
Russia,344,405,0.540720961281709,1992-12-31,2026-04-01
Rwanda,270,10,0.03571428571428571,1992-12-31,2026-01-19
Ryūkyū,0,1,1.0,,
Réunion,0,124,1.0,,
Saare County,0,35,1.0,,
Saarland,0,9,1.0,,
Saint Barthélemy,0,10,1.0,,
Saint Helena,0,8,1.0,,
Saint Kitts and Nevis,0,226,1.0,,
Saint Lucia,0,230,1.0,,
Saint Martin,0,68,1.0,,
Saint Pierre and Miquelon,0,7,1.0,,
Saint Vincent and the Grenadines,0,236,1.0,,
Samoa,53,18,0.2535211267605634,1998-08-19,2024-10-24
San Marino,213,12,0.05333333333333334,1992-12-31,2026-04-01
Sark,0,4,1.0,,
Saudi Arabia,557,184,0.2483130904183536,1992-12-31,2026-04-01
Saugeais,0,1,1.0,,
Scotland,304,547,0.6427732079905993,1992-12-31,2026-04-01
Sealand,0,12,1.0,,
Seborga,0,1,1.0,,
Senegal,386,252,0.3949843260188088,1992-12-31,2026-04-01
Serbia,222,126,0.3620689655172414,2005-12-16,2026-04-01
Seychelles,148,28,0.1590909090909091,1993-08-08,2025-09-18
Shetland,0,58,1.0,,
Sierra Leone,180,121,0.4019933554817276,1992-12-31,2026-04-01
Silesia,0,8,1.0,,
Singapore,366,330,0.47413793103448276,1992-12-31,2026-04-01
Sint Maarten,0,60,1.0,,
Slovakia,349,18,0.04904632152588556,1993-12-23,2026-04-01
Slovenia,314,3,0.00946372239747634,1992-12-31,2026-04-01
Solomon Islands,160,54,0.2523364485981308,1993-11-19,2026-01-19
Somalia,86,38,0.3064516129032258,1992-12-31,2025-11-20
Somaliland,0,6,1.0,,
South Africa,448,33,0.06860706860706861,1992-12-31,2026-06-11
South Korea,521,487,0.48313492063492064,1992-12-31,2026-06-11
South Ossetia,0,17,1.0,,
South Sudan,77,1,0.01282051282051282,2012-11-07,2025-11-20
South Yemen,0,3,1.0,,
Spain,412,371,0.47381864623243936,1992-12-31,2026-04-01
Sri Lanka,198,53,0.21115537848605578,1993-11-19,2025-10-16
Sudan,320,149,0.31769722814498935,1992-12-31,2025-12-19
Suriname,176,223,0.5588972431077694,1993-12-23,2026-01-19
Surrey,0,1,1.0,,
Sweden,424,677,0.6148955495004541,1992-12-31,2026-04-01
Switzerland,355,529,0.5984162895927602,1992-12-31,2026-04-01
Syria,363,121,0.25,1992-12-31,2026-04-01
Székely Land,0,27,1.0,,
Sápmi,0,29,1.0,,
São Tomé and Príncipe,24,47,0.6619718309859155,2020-10-22,2025-09-18
Tahiti,133,109,0.45041322314049587,1993-11-19,2024-12-19
Taiwan,0,245,1.0,,
Tajikistan,191,10,0.04975124378109453,1996-04-24,2026-04-01
Tamil Eelam,0,28,1.0,,
Tanzania,338,261,0.4357262103505843,1992-12-31,2026-01-19
Thailand,440,425,0.4913294797687861,1992-12-31,2026-04-01
Tibet,0,21,1.0,,
Ticino,0,2,1.0,,
Timor-Leste,77,9,0.10465116279069768,2007-09-19,2025-10-16
Togo,294,153,0.3422818791946309,1992-12-31,2026-04-01
Tonga,53,15,0.22058823529411764,1996-12-18,2024-07-18
Trinidad and Tobago,443,310,0.4116865869853918,1992-12-31,2026-04-01
Tunisia,428,250,0.3687315634218289,1992-12-31,2026-04-01
Turkey,373,269,0.4190031152647975,1992-12-31,2026-04-01
Turkmenistan,156,19,0.10857142857142857,1996-02-21,2025-10-16
Turks and Caicos Islands,50,2,0.038461538461538464,2000-03-15,2025-07-10
Tuvalu,0,39,1.0,,
Two Sicilies,0,6,1.0,,
Uganda,378,307,0.4481751824817518,1992-12-31,2025-12-19
Ukraine,331,7,0.020710059171597635,1992-12-31,2026-04-01
United Arab Emirates,455,157,0.2565359477124183,1992-12-31,2025-11-20
United Koreans in Japan,0,12,1.0,,
United States,559,232,0.29329962073324906,1992-12-31,2026-06-11
United States Virgin Islands,0,78,1.0,,
Uruguay,391,579,0.5969072164948453,1992-12-31,2026-01-19
Uzbekistan,336,18,0.05084745762711865,1995-02-20,2026-04-01
Vanuatu,134,80,0.37383177570093457,1993-11-19,2026-04-01
Vatican City,0,8,1.0,,
Venezuela,363,97,0.2108695652173913,1992-12-31,2026-04-01
Vietnam,280,17,0.05723905723905724,1994-12-20,2026-01-19
Vietnam Republic,0,195,1.0,,
Wales,286,440,0.6060606060606061,1992-12-31,2026-04-01
Wallis Islands and Futuna,0,24,1.0,,
West Papua,0,2,1.0,,
Western Armenia,0,16,1.0,,
Western Australia,0,32,1.0,,
Western Isles,0,34,1.0,,
Western Sahara,0,9,1.0,,
Yemen,228,38,0.14285714285714285,1992-12-31,2025-11-20
Yemen DPR,0,25,1.0,,
Ynys Môn,0,67,1.0,,
Yorkshire,0,7,1.0,,
Yoruba Nation,0,2,1.0,,
Yugoslavia,0,483,1.0,,
Zambia,472,321,0.4047919293820933,1992-12-31,2026-01-19
Zanzibar,0,209,1.0,,
Zimbabwe,338,158,0.3185483870967742,1992-12-31,2026-04-01
Åland Islands,0,51,1.0,,
